   voltage,  current
   29.69,    0.64
   29.40,    0.64
   29.56,    0.64
   29.54,    0.63
   29.46,    0.63
   29.36,    0.63
   29.32,    0.63
   29.47,    0.62
   29.38,    0.62
   29.59,    0.63
   29.45,    0.62
   29.63,    0.64
   29.59,    0.65
   29.53,    0.61
   29.38,    0.63
   29.67,    0.61
   29.41,    0.64
   29.66,    0.65
   29.40,    0.61
   29.45,    0.65
   29.34,    0.61
   29.55,    0.64
   29.38,    0.64
   29.33,    0.63
   29.58,    0.65
   29.44,    0.65
   29.56,    0.64
   29.46,    0.62
   29.55,    0.62
   29.32,    0.62